title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Máy Đo Đường Huyết On Call Advanced Kèm Hộp 25 Que Thử Đường Huyết On Call Advanced [Bảo Hành Trọn Đời],1.099.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-on-call-advanced-kem-hop-25-que-thu-duong-huyet-on-call-advanced-bao-hanh-tron-doi-i2603167648.html,11,11,27% Off,Hà Nội,lazada,health,11,Official
"Máy đo Đường huyết, Mỡ máu, AxitUric 5 trong 1 Facare FC-M168 (TD-4216) bluetooth",850.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-mo-mau-axituric-5-trong-1-facare-fc-m168-td-4216-bluetooth-i1955345988.html,12,12,43% Off,"5 Đã bán
(1)
Hà Nội",lazada,health,12,
"Hộp 50 Que Thử Đường Huyết On Call Advanced Gồm 2 Lọ, Mỗi Lọ 25 Que",255.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-on-call-advanced-gom-2-lo-moi-lo-25-que-i2603144779.html,13,13,27% Off,"(1)
Hà Nội",lazada,health,13,Official
"Máy đường huyết Safe AQ sinocare công nghệ Đức, bản CAO CẤP, tặng 25 que thử và 25 kim lấy máu",200.000 ₫,https://www.lazada.vn/products/may-duong-huyet-safe-aq-sinocare-cong-nghe-duc-ban-cao-cap-tang-25-que-thu-va-25-kim-lay-mau-i2374084871.html,14,14,31% Off,"9 Đã bán
(8)
Hà Nội",lazada,health,14,
Hộp 100 Kim Chích Máu Đường Huyết On Call Sử Dụng Cho Các Dòng Máy Đo Đường Huyết On Call,36.000 ₫,https://www.lazada.vn/products/hop-100-kim-chich-mau-duong-huyet-on-call-su-dung-cho-cac-dong-may-do-duong-huyet-on-call-i2603160756.html,15,15,27% Off,"13 Đã bán
(5)
Hồ Chí Minh",lazada,health,15,Official
CONTOUR®TS Que thử đường huyết 50’cái,301.000 ₫,https://www.lazada.vn/products/contourts-que-thu-duong-huyet-50cai-i1905723764.html,16,16,37% Off,"189 Đã bán
(44)
Hồ Chí Minh",lazada,health,16,Official
Máy đo đường huyết MICROLIFE DiaRite BGM (Máy + 50 que thử khi mua kèm ở quà tặng) - MEDICAL,688.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-microlife-diarite-bgm-may-50-que-thu-khi-mua-kem-o-qua-tang-medical-i1668150125.html,17,17,49% Off,"319 Đã bán
(62)
Hồ Chí Minh",lazada,health,17,Official
Que thử đường huyết MICROLIFE DiaRite BGM Test (50 que ) date xa - MEDICAL,346.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-microlife-diarite-bgm-test-50-que-date-xa-medical-i1669708885.html,18,18,23% Off,"320 Đã bán
(57)
Hồ Chí Minh",lazada,health,18,Official
"máy đo đường huyết, Mỡ máu, acid Uric 3 Trong 1 Benecheck Plus",638.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-mo-mau-acid-uric-3-trong-1-benecheck-plus-i1393412056.html,19,19,20% Off,"35 Đã bán
(11)
Hà Nội",lazada,health,19,
Dầu gió trắng hiệu Cây Búa 10ml (Hộp 1 chai),27.000 ₫,https://www.lazada.vn/products/dau-gio-trang-hieu-cay-bua-10ml-hop-1-chai-i1999710644.html,20,20,,"54 Đã bán
(12)
Đồng Nai",lazada,health,20,Official
"Túi chườm đá lạnh size lớn 26 cm, hỗ trợ giảm chấn thương khi chơi thể thao, vận động, đá bóng ( Giao họa tiết ngẫu nhiên)- Loki care",23.000 ₫,https://www.lazada.vn/products/tui-chuom-da-lanh-size-lon-26-cm-ho-tro-giam-chan-thuong-khi-choi-the-thao-van-dong-da-bong-giao-hoa-tiet-ngau-nhien-loki-care-i2285386909.html,21,21,43% Off,"110 Đã bán
(11)
Hà Nội",lazada,health,21,
Máy Đo Huyết Áp Bắp Tay và nhịp tim Giọng nói tiếng Việt Sinoheart - Yuwell YE650D - BWELL PRO 36 ( Thụy Sĩ ),400.000 ₫,https://www.lazada.vn/products/may-do-huyet-ap-bap-tay-va-nhip-tim-giong-noi-tieng-viet-sinoheart-yuwell-ye650d-bwell-pro-36-thuy-si-i2317036017.html,22,22,,Hồ Chí Minh,lazada,health,22,
"Que thử đường huyết Uright hộp 25 que dùng máy Uright TD4265, 4267",119.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-uright-hop-25-que-dung-may-uright-td4265-4267-i2423093035.html,23,23,47% Off,"5 Đã bán
(3)
Hồ Chí Minh",lazada,health,23,
Chính Hãng Cao Dán Con Cọp 5 Chữ / 7 Chữ Giảm Đau Nhức Hiệu Quả (Hình con hổ ),50.000 ₫,https://www.lazada.vn/products/chinh-hang-cao-dan-con-cop-5-chu-7-chu-giam-dau-nhuc-hieu-qua-hinh-con-ho-i1891632446.html,24,24,31% Off,"888 Đã bán
(203)
Hồ Chí Minh",lazada,health,24,
Máy đo đường huyết Sinocare Safe AQ chính hãng Đức + Tặng 50 que thử và 50 kim lấy máu,211.650 ₫,https://www.lazada.vn/products/may-do-duong-huyet-sinocare-safe-aq-chinh-hang-duc-tang-50-que-thu-va-50-kim-lay-mau-i1884140911.html,25,25,,"(1)
Hà Nội",lazada,health,25,
[HCM]Dầu Nóng Xoa Bóp chai 100ml Của Hàn Quốc có lăn – GV390,22.500 ₫,https://www.lazada.vn/products/hcmdau-nong-xoa-bop-chai-100ml-cua-han-quoc-co-lan-gv390-i1411266855.html,26,26,,"848 Đã bán
(96)
Hồ Chí Minh",lazada,health,26,
Que Thử Đường Huyết Safe AQ Smart Tặng 50 Que Và 50 Kim,180.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-safe-aq-smart-tang-50-que-va-50-kim-i1537305437.html,27,27,40% Off,"10 Đã bán
(3)
Hà Nội",lazada,health,27,
"Băng chun vải cố định vết thương Minh Quang, băng chun y tế, cố định khớp hạn chế chấn thương - Loki mall care",17.900 ₫,https://www.lazada.vn/products/bang-chun-vai-co-dinh-vet-thuong-minh-quang-bang-chun-y-te-co-dinh-khop-han-che-chan-thuong-loki-mall-care-i2419521441.html,28,28,42% Off,"(1)
Hà Nội",lazada,health,28,
(Dòng mới 2023) Máy Đo Huyết Áp Bluetooth OMRON HEM-7140T1 - Kết nối điện thoại thông minh,799.000 ₫,https://www.lazada.vn/products/dong-moi-2023-may-do-huyet-ap-bluetooth-omron-hem-7140t1-ket-noi-dien-thoai-thong-minh-i2253576021.html,29,29,15% Off,"5.1K Đã bán
(1198)
Hồ Chí Minh",lazada,health,29,Official
"Băng vết thương cá nhân Ugotana - băng dính y tế chống nước, bằng vải, sơ cứu khi đứt tay",25.000 ₫,https://www.lazada.vn/products/bang-vet-thuong-ca-nhan-ugotana-bang-dinh-y-te-chong-nuoc-bang-vai-so-cuu-khi-dut-tay-i1498902110.html,30,30,46% Off,"1.1K Đã bán
(149)
Hà Nội",lazada,health,30,
Máy đo huyết áp tự động Beurer BM-44 hàng Đức độ chính xác cao dễ sử dụng cho người lớn tuổi,1.249.500 ₫,https://www.lazada.vn/products/may-do-huyet-ap-tu-dong-beurer-bm-44-hang-duc-do-chinh-xac-cao-de-su-dung-cho-nguoi-lon-tuoi-i829492445.html,31,31,38% Off,Hà Nội,lazada,health,31,
[Giao 24h][Voucher 10%] Flyco Máy đo đường huyết Contec - Tặng kèm 25 Que Thử và Kim - Bảo hành 5 năm - Hàng Chính Hãng - Theo dõi sức khoẻ người mắc bệnh tiểu đường,432.500 ₫,https://www.lazada.vn/products/giao-24hvoucher-10-flyco-may-do-duong-huyet-contec-tang-kem-25-que-thu-va-kim-bao-hanh-5-nam-hang-chinh-hang-theo-doi-suc-khoe-nguoi-mac-benh-tieu-duong-i2491475562.html,32,32,37% Off,"22.2K Đã bán
(80)
Hà Nội",lazada,health,32,
Que thử cho máy đo đường huyết Oncall Plus và One Call EZII hộp 25 que + Tặng 25 kim chích máu + Mua 2 hộp tặng PIN chuyên dụng cho máy đo đường huyết,124.000 ₫,https://www.lazada.vn/products/que-thu-cho-may-do-duong-huyet-oncall-plus-va-one-call-ezii-hop-25-que-tang-25-kim-chich-mau-mua-2-hop-tang-pin-chuyen-dung-cho-may-do-duong-huyet-i312072240.html,33,33,35% Off,"488 Đã bán
(64)
Hà Nội",lazada,health,33,
[HCM]Máy đo đường huyết tặng 50 que thử và 50 kim đo đường huyết Sinocare Accu-Safe Đức chính hãng có 2 bản đơn vị đo mmol/L mg/dL Bảo hành trọn đời,209.000 ₫,https://www.lazada.vn/products/hcmmay-do-duong-huyet-tang-50-que-thu-va-50-kim-do-duong-huyet-sinocare-accu-safe-duc-chinh-hang-co-2-ban-don-vi-do-mmoll-mgdl-bao-hanh-tron-doi-i1048698390.html,34,34,3% Off,"1.2K Đã bán
(319)
Hồ Chí Minh",lazada,health,34,
Que Thử Đường Huyết YUWELL ACCUSURE 710 [50 Que + 50 Kim],223.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-yuwell-accusure-710-50-que-50-kim-i1681530396.html,35,35,16% Off,"34 Đã bán
(6)
Hà Nội",lazada,health,35,
✅ Que Thử Đường Huyết Easy Gluco | (Date Xa) | (Chính hãng Osang Healthcare - Hàn Quốc) -VT0764 - Y Tế Vạn Thành,118.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-easy-gluco-date-xa-chinh-hang-osang-healthcare-han-quoc-vt0764-y-te-van-thanh-i1556497164.html,36,36,,"118 Đã bán
(31)
Hồ Chí Minh",lazada,health,36,
Máy Đo Đường Huyết Safe Accu 2 Tặng Kèm 50 Que Thử Và 50 Kim,250.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-safe-accu-2-tang-kem-50-que-thu-va-50-kim-i1537307215.html,37,37,40% Off,"(2)
Hà Nội",lazada,health,37,
"Túi chườm đá lạnh size lớn 26 cm, Hỗ trợ giảm chấn thương khi vận động, chơi thể thao, đá bóng, chườm lạnh, chườm đá, túi trườm đá - Loki Care",23.000 ₫,https://www.lazada.vn/products/tui-chuom-da-lanh-size-lon-26-cm-ho-tro-giam-chan-thuong-khi-van-dong-choi-the-thao-da-bong-chuom-lanh-chuom-da-tui-truom-da-loki-care-i2337610193.html,38,38,50% Off,"226 Đã bán
(28)
Hà Nội",lazada,health,38,
Hộp 50 Que Thử Đường Huyết Safe Accu Sinocare Dạng Vỉ + Tặng 50 Kim Chích,138.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-safe-accu-sinocare-dang-vi-tang-50-kim-chich-i1050300781.html,39,39,,"35 Đã bán
(11)
Hà Nội",lazada,health,39,
Máy đo đường huyết tiểu đường trong máu của Mỹ Acon On call EZ II tặng kèm 25 que thử ( BẢO HÀNH TRỌN ĐỜI ),370.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-tieu-duong-trong-mau-cua-my-acon-on-call-ez-ii-tang-kem-25-que-thu-bao-hanh-tron-doi-i200976590.html,40,40,30% Off,"169 Đã bán
(34)
Hồ Chí Minh",lazada,health,40,
Que thử đường huyết Yuwell,125.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-yuwell-i2089479390.html,1,1,,"13 Đã bán
(1)
Bắc Ninh",lazada,health,1,
"DẦU NÓNG MẶT TRỜI OPC (60 ml) - Dùng khi nhức mỏi, tê thấp, đau lưng, Dùng ngoài để xoa bóp, chà lên nơi đau - Hàng chính hãng OPC",56.700 ₫,https://www.lazada.vn/products/dau-nong-mat-troi-opc-60-ml-dung-khi-nhuc-moi-te-thap-dau-lung-dung-ngoai-de-xoa-bop-cha-len-noi-dau-hang-chinh-hang-opc-i1542372892.html,2,2,,"281 Đã bán
(45)
Hồ Chí Minh",lazada,health,2,Official
Tặng Máy đo đường huyết CONTOUR PLUS ELITE (mg/dL) và 100 Kim lấy máu thử đường huyết Khi Mua Que thử đường huyết,646.000 ₫,https://www.lazada.vn/products/tang-may-do-duong-huyet-contour-plus-elite-mgdl-va-100-kim-lay-mau-thu-duong-huyet-khi-mua-que-thu-duong-huyet-i2472589551.html,3,3,24% Off,"64 Đã bán
(21)
Hồ Chí Minh",lazada,health,3,Official
Viên tiêu sưng giảm đau OP.ZEN OPC (Hộp 50 viên NC) - Giúp hỗ trợ giảm sưng đau do chấn thương - Hàng chính hãng OPC,37.800 ₫,https://www.lazada.vn/products/vien-tieu-sung-giam-dau-opzen-opc-hop-50-vien-nc-giup-ho-tro-giam-sung-dau-do-chan-thuong-hang-chinh-hang-opc-i1554844792.html,4,4,,"182 Đã bán
(41)
Hồ Chí Minh",lazada,health,4,Official
Nhiệt ẩm kế đồng hồ cảm biến nhiệt độ và độ ẩm để bàn HTC-2 có đầu dò nhiệt nhiệt kế điện tử,46.500 ₫,https://www.lazada.vn/products/nhiet-am-ke-dong-ho-cam-bien-nhiet-do-va-do-am-de-ban-htc-2-co-dau-do-nhiet-nhiet-ke-dien-tu-i1970123099.html,5,5,47% Off,"69 Đã bán
(18)
Hà Nội",lazada,health,5,Official
Sinocare Máy Đo Đường Huyết Safe AQ Smart Kèm 50 Que Thử Và 50 Kim Chính Hãng,350.000 ₫,https://www.lazada.vn/products/sinocare-may-do-duong-huyet-safe-aq-smart-kem-50-que-thu-va-50-kim-chinh-hang-i1267966287.html,6,6,36% Off,"1.0K Đã bán
(287)
Hà Nội",lazada,health,6,Official
Máy đo đường huyết Sinocare Safe AQ tặng 1 hộp 25 que thử đường huyết và hộp 25 kim chích máu,175.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-sinocare-safe-aq-tang-1-hop-25-que-thu-duong-huyet-va-hop-25-kim-chich-mau-i267896179.html,7,7,12% Off,"41 Đã bán
(6)
Hà Nội",lazada,health,7,
Bộ máy đo đường huyết Sinocare Safe AQ tặng 1 hộp 50 que thử và hộp 50 kim lấy máu,230.000 ₫,https://www.lazada.vn/products/bo-may-do-duong-huyet-sinocare-safe-aq-tang-1-hop-50-que-thu-va-hop-50-kim-lay-mau-i235307955.html,8,8,29% Off,"70 Đã bán
(15)
Hà Nội",lazada,health,8,
Bộ que thử và kim chích máu dùng cho máy Sinocare Safe AQ,87.500 ₫,https://www.lazada.vn/products/bo-que-thu-va-kim-chich-mau-dung-cho-may-sinocare-safe-aq-i1884193563.html,9,9,50% Off,"7 Đã bán
(3)
Hà Nội",lazada,health,9,
"Hộp 50 que thử đường huyết cao cấp Safe AQ Sinocare, hạn sử dụng 2 năm, tặng 50 kim lấy máu",180.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-cao-cap-safe-aq-sinocare-han-su-dung-2-nam-tang-50-kim-lay-mau-i2365883966.html,10,10,49% Off,"109 Đã bán
(33)
Hà Nội",lazada,health,10,
"Máy đo Đường huyết, Mỡ máu, AxitUric 5 trong 1 Facare FC-M168 (TD-4216) bluetooth",850.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-mo-mau-axituric-5-trong-1-facare-fc-m168-td-4216-bluetooth-i1955345988.html,11,11,43% Off,"5 Đã bán
(1)
Hà Nội",lazada,health,11,
Máy Đo Đường Huyết On Call Advanced Kèm Hộp 25 Que Thử Đường Huyết On Call Advanced [Bảo Hành Trọn Đời],1.099.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-on-call-advanced-kem-hop-25-que-thu-duong-huyet-on-call-advanced-bao-hanh-tron-doi-i2603167648.html,12,12,27% Off,Hà Nội,lazada,health,12,Official
"Máy đường huyết Safe AQ sinocare công nghệ Đức, bản CAO CẤP, tặng 25 que thử và 25 kim lấy máu",200.000 ₫,https://www.lazada.vn/products/may-duong-huyet-safe-aq-sinocare-cong-nghe-duc-ban-cao-cap-tang-25-que-thu-va-25-kim-lay-mau-i2374084871.html,13,13,31% Off,"9 Đã bán
(8)
Hà Nội",lazada,health,13,
"Hộp 50 Que Thử Đường Huyết On Call Advanced Gồm 2 Lọ, Mỗi Lọ 25 Que",255.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-on-call-advanced-gom-2-lo-moi-lo-25-que-i2603144779.html,14,14,27% Off,"(1)
Hà Nội",lazada,health,14,Official
CONTOUR®TS Que thử đường huyết 50’cái,301.000 ₫,https://www.lazada.vn/products/contourts-que-thu-duong-huyet-50cai-i1905723764.html,15,15,37% Off,"189 Đã bán
(44)
Hồ Chí Minh",lazada,health,15,Official
"máy đo đường huyết, Mỡ máu, acid Uric 3 Trong 1 Benecheck Plus",638.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-mo-mau-acid-uric-3-trong-1-benecheck-plus-i1393412056.html,16,16,20% Off,"35 Đã bán
(11)
Hà Nội",lazada,health,16,
Hộp 100 Kim Chích Máu Đường Huyết On Call Sử Dụng Cho Các Dòng Máy Đo Đường Huyết On Call,36.000 ₫,https://www.lazada.vn/products/hop-100-kim-chich-mau-duong-huyet-on-call-su-dung-cho-cac-dong-may-do-duong-huyet-on-call-i2603160756.html,17,17,27% Off,"13 Đã bán
(5)
Hồ Chí Minh",lazada,health,17,Official
"Băng vết thương cá nhân Ugotana - băng dính y tế chống nước, bằng vải, sơ cứu khi đứt tay",25.000 ₫,https://www.lazada.vn/products/bang-vet-thuong-ca-nhan-ugotana-bang-dinh-y-te-chong-nuoc-bang-vai-so-cuu-khi-dut-tay-i1498902110.html,18,18,46% Off,"1.1K Đã bán
(149)
Hà Nội",lazada,health,18,
[HCM]Máy đo đường huyết tặng 50 que thử và 50 kim đo đường huyết Sinocare Accu-Safe Đức chính hãng có 2 bản đơn vị đo mmol/L mg/dL Bảo hành trọn đời,209.000 ₫,https://www.lazada.vn/products/hcmmay-do-duong-huyet-tang-50-que-thu-va-50-kim-do-duong-huyet-sinocare-accu-safe-duc-chinh-hang-co-2-ban-don-vi-do-mmoll-mgdl-bao-hanh-tron-doi-i1048698390.html,19,19,3% Off,"1.2K Đã bán
(319)
Hồ Chí Minh",lazada,health,19,
Máy Đo Huyết Áp Bắp Tay và nhịp tim Giọng nói tiếng Việt Sinoheart - Yuwell YE650D - BWELL PRO 36 ( Thụy Sĩ ),400.000 ₫,https://www.lazada.vn/products/may-do-huyet-ap-bap-tay-va-nhip-tim-giong-noi-tieng-viet-sinoheart-yuwell-ye650d-bwell-pro-36-thuy-si-i2317036017.html,20,20,,Hồ Chí Minh,lazada,health,20,
"Que thử đường huyết Uright hộp 25 que dùng máy Uright TD4265, 4267",119.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-uright-hop-25-que-dung-may-uright-td4265-4267-i2423093035.html,21,21,47% Off,"5 Đã bán
(3)
Hồ Chí Minh",lazada,health,21,
[Giao 24h][Voucher 10%] Flyco Máy đo đường huyết Contec - Tặng kèm 25 Que Thử và Kim - Bảo hành 5 năm - Hàng Chính Hãng - Theo dõi sức khoẻ người mắc bệnh tiểu đường,432.500 ₫,https://www.lazada.vn/products/giao-24hvoucher-10-flyco-may-do-duong-huyet-contec-tang-kem-25-que-thu-va-kim-bao-hanh-5-nam-hang-chinh-hang-theo-doi-suc-khoe-nguoi-mac-benh-tieu-duong-i2491475562.html,22,22,37% Off,"22.2K Đã bán
(80)
Hà Nội",lazada,health,22,
Que Thử Đường Huyết Safe AQ Smart Tặng 50 Que Và 50 Kim,180.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-safe-aq-smart-tang-50-que-va-50-kim-i1537305437.html,23,23,40% Off,"10 Đã bán
(3)
Hà Nội",lazada,health,23,
Dầu gió trắng hiệu Cây Búa 10ml (Hộp 1 chai),27.000 ₫,https://www.lazada.vn/products/dau-gio-trang-hieu-cay-bua-10ml-hop-1-chai-i1999710644.html,24,24,,"54 Đã bán
(12)
Đồng Nai",lazada,health,24,Official
Máy đo đường huyết Sinocare Safe AQ chính hãng Đức + Tặng 50 que thử và 50 kim lấy máu,211.650 ₫,https://www.lazada.vn/products/may-do-duong-huyet-sinocare-safe-aq-chinh-hang-duc-tang-50-que-thu-va-50-kim-lay-mau-i1884140911.html,25,25,,"(1)
Hà Nội",lazada,health,25,
Máy đo đường huyết MICROLIFE DiaRite BGM (Máy + 50 que thử khi mua kèm ở quà tặng) - MEDICAL,688.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-microlife-diarite-bgm-may-50-que-thu-khi-mua-kem-o-qua-tang-medical-i1668150125.html,26,26,49% Off,"319 Đã bán
(62)
Hồ Chí Minh",lazada,health,26,Official
"Băng chun vải cố định vết thương Minh Quang, băng chun y tế, cố định khớp hạn chế chấn thương - Loki mall care",17.900 ₫,https://www.lazada.vn/products/bang-chun-vai-co-dinh-vet-thuong-minh-quang-bang-chun-y-te-co-dinh-khop-han-che-chan-thuong-loki-mall-care-i2419521441.html,27,27,42% Off,"(1)
Hà Nội",lazada,health,27,
Que thử đường huyết MICROLIFE DiaRite BGM Test (50 que ) date xa - MEDICAL,346.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-microlife-diarite-bgm-test-50-que-date-xa-medical-i1669708885.html,28,28,23% Off,"320 Đã bán
(57)
Hồ Chí Minh",lazada,health,28,Official
Chính Hãng Cao Dán Con Cọp 5 Chữ / 7 Chữ Giảm Đau Nhức Hiệu Quả (Hình con hổ ),50.000 ₫,https://www.lazada.vn/products/chinh-hang-cao-dan-con-cop-5-chu-7-chu-giam-dau-nhuc-hieu-qua-hinh-con-ho-i1891632446.html,29,29,31% Off,"888 Đã bán
(203)
Hồ Chí Minh",lazada,health,29,
Que thử cho máy đo đường huyết Oncall Plus và One Call EZII hộp 25 que + Tặng 25 kim chích máu + Mua 2 hộp tặng PIN chuyên dụng cho máy đo đường huyết,124.000 ₫,https://www.lazada.vn/products/que-thu-cho-may-do-duong-huyet-oncall-plus-va-one-call-ezii-hop-25-que-tang-25-kim-chich-mau-mua-2-hop-tang-pin-chuyen-dung-cho-may-do-duong-huyet-i312072240.html,30,30,35% Off,"488 Đã bán
(64)
Hà Nội",lazada,health,30,
"Túi chườm đá lạnh size lớn 26 cm, hỗ trợ giảm chấn thương khi chơi thể thao, vận động, đá bóng ( Giao họa tiết ngẫu nhiên)- Loki care",23.000 ₫,https://www.lazada.vn/products/tui-chuom-da-lanh-size-lon-26-cm-ho-tro-giam-chan-thuong-khi-choi-the-thao-van-dong-da-bong-giao-hoa-tiet-ngau-nhien-loki-care-i2285386909.html,31,31,43% Off,"110 Đã bán
(11)
Hà Nội",lazada,health,31,
[HCM]Dầu Nóng Xoa Bóp chai 100ml Của Hàn Quốc có lăn – GV390,22.500 ₫,https://www.lazada.vn/products/hcmdau-nong-xoa-bop-chai-100ml-cua-han-quoc-co-lan-gv390-i1411266855.html,32,32,,"848 Đã bán
(96)
Hồ Chí Minh",lazada,health,32,
Máy đo đường huyết tiểu đường trong máu của Mỹ Acon On call EZ II tặng kèm 25 que thử ( BẢO HÀNH TRỌN ĐỜI ),370.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-tieu-duong-trong-mau-cua-my-acon-on-call-ez-ii-tang-kem-25-que-thu-bao-hanh-tron-doi-i200976590.html,33,33,30% Off,"169 Đã bán
(34)
Hồ Chí Minh",lazada,health,33,
Que Thử Đường Huyết YUWELL ACCUSURE 710 [50 Que + 50 Kim],223.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-yuwell-accusure-710-50-que-50-kim-i1681530396.html,34,34,16% Off,"34 Đã bán
(6)
Hà Nội",lazada,health,34,
(Dòng mới 2023) Máy Đo Huyết Áp Bluetooth OMRON HEM-7140T1 - Kết nối điện thoại thông minh,799.000 ₫,https://www.lazada.vn/products/dong-moi-2023-may-do-huyet-ap-bluetooth-omron-hem-7140t1-ket-noi-dien-thoai-thong-minh-i2253576021.html,35,35,15% Off,"5.1K Đã bán
(1198)
Hồ Chí Minh",lazada,health,35,Official
Kem bôi bỏng Silvirin U.S.P tuýp 20g,28.000 ₫,https://www.lazada.vn/products/kem-boi-bong-silvirin-usp-tuyp-20g-i2137711880.html,36,36,,"39 Đã bán
(6)
Hồ Chí Minh",lazada,health,36,
